,tau,horizon,coeff,tval,pval,lower_ci,upper_ci,pseudo_r2
leverage,0.75,8,-0.2976325320096213,-2.54985175328198,0.016536502598404883,-0.5367337281534302,-0.058531335865812356,0.4127079592064834
trade_partners_macro,0.75,8,-0.3041613347643499,-1.1654716935210503,0.25366085345092537,-0.838748535682941,0.2304258661542412,0.4127079592064834
euro_area_fci,0.75,8,0.05166869534636255,0.6283968740291941,0.5348367357640722,-0.11675754757255861,0.2200949382652837,0.4127079592064834
world_fci,0.75,8,0.27297771403161036,2.5486989297482965,0.016580706329847834,0.05358361751958618,0.49237181054363455,0.4127079592064834
autoreg,0.75,8,0.3012967315647559,2.0556389492598246,0.04924996327252191,0.0010599721089971648,0.6015334910205146,0.4127079592064834
Intercept,0.9,8,0.30240787950163733,,,,,0.43116033044122926
domestic_fci,0.9,8,0.34369581121796333,,,,,0.43116033044122926
leverage,0.9,8,-0.275661635174924,,,,,0.43116033044122926
trade_partners_macro,0.9,8,-0.7352474404923047,,,,,0.43116033044122926
euro_area_fci,0.9,8,0.2914911624463051,,,,,0.43116033044122926
world_fci,0.9,8,0.5618870775229096,,,,,0.43116033044122926
autoreg,0.9,8,0.45318865512734546,,,,,0.43116033044122926
